iter	Passed	Remaining
0	1	193
1	3	193
2	5	187
3	6	166
4	8	165
5	10	172
6	11	159
7	14	165
8	15	159
9	18	163
10	20	164
11	21	159
12	23	159
13	25	155
14	26	150
15	27	146
16	29	145
17	31	144
18	33	142
19	35	140
20	36	137
21	38	135
22	39	131
23	40	128
24	41	125
25	43	123
26	44	120
27	46	120
28	47	117
29	49	115
30	50	112
31	51	109
32	52	107
33	54	105
34	55	102
35	56	100
36	58	98
37	59	97
38	61	95
39	62	93
40	64	92
41	65	89
42	67	89
43	68	87
44	70	85
45	71	83
46	73	82
47	74	81
48	75	79
49	77	77
50	79	76
51	80	74
52	81	72
53	82	70
54	83	68
55	85	66
56	86	65
57	88	63
58	89	62
59	90	60
60	92	58
61	93	57
62	94	55
63	96	54
64	97	52
65	98	50
66	100	49
67	101	47
68	103	46
69	104	44
70	105	43
71	107	41
72	108	40
73	110	38
74	111	37
75	112	35
76	113	33
77	114	32
78	116	30
79	117	29
80	119	27
81	121	26
82	122	25
83	124	23
84	125	22
85	126	20
86	127	19
87	128	17
88	129	16
89	130	14
90	131	13
91	133	11
92	135	10
93	136	8
94	137	7
95	139	5
96	141	4
97	142	2
98	143	1
99	144	0
